0.00.038.117 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.038.145 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.038.145 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.038.465 W srv  llama_server: -----------------
0.00.038.466 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.038.467 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.038.467 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.038.467 W srv  llama_server: -----------------
0.00.039.680 I srv    load_model: loading model '/mnt/raid0/llm/models/bge-large-en-v1.5-f16.gguf'
0.00.244.663 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.00.367.838 W srv    load_model: speculative decoding not supported by this context
0.00.367.843 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 512, kv_unified = 'true'
0.00.369.366 I srv  llama_server: model loaded
0.00.369.373 I srv  llama_server: listening on http://127.0.0.1:8090
4.16.014.339 I slot launch_slot_: id  3 | task 59 | processing task, is_child = 0
4.16.026.536 I slot      release: id  3 | task 59 | stop processing: n_tokens = 69, truncated = 0
4.16.027.440 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257001757
4.16.027.442 I slot launch_slot_: id  2 | task 61 | processing task, is_child = 0
4.16.038.340 I slot      release: id  2 | task 61 | stop processing: n_tokens = 79, truncated = 0
4.16.039.253 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257011087
4.16.039.256 I slot launch_slot_: id  1 | task 63 | processing task, is_child = 0
4.16.047.793 I slot      release: id  1 | task 63 | stop processing: n_tokens = 63, truncated = 0
4.16.048.731 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257021562
4.16.048.733 I slot launch_slot_: id  0 | task 65 | processing task, is_child = 0
4.16.057.108 I slot      release: id  0 | task 65 | stop processing: n_tokens = 55, truncated = 0
4.16.058.070 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257034688
4.16.058.073 I slot launch_slot_: id  3 | task 67 | processing task, is_child = 0
4.16.069.575 I slot      release: id  3 | task 67 | stop processing: n_tokens = 46, truncated = 0
4.16.070.470 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3126257046492
4.16.070.471 I slot launch_slot_: id  2 | task 69 | processing task, is_child = 0
4.16.079.264 I slot      release: id  2 | task 69 | stop processing: n_tokens = 50, truncated = 0
4.16.080.403 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3126257055945
4.16.080.406 I slot launch_slot_: id  1 | task 71 | processing task, is_child = 0
4.16.088.830 I slot      release: id  1 | task 71 | stop processing: n_tokens = 65, truncated = 0
4.16.089.714 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3126257065260
4.16.089.717 I slot launch_slot_: id  0 | task 73 | processing task, is_child = 0
4.16.098.168 I slot      release: id  0 | task 73 | stop processing: n_tokens = 68, truncated = 0
4.16.099.058 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3126257077727
4.16.099.060 I slot launch_slot_: id  3 | task 75 | processing task, is_child = 0
